company_id,date_joined,year_founded
150,30/03/2021,2013
710,03/02/2021,2015
348,18/12/2018,2010
27,20/07/2021,2017
776,08/02/2022,2015
145,06/07/2021,2015
775,02/12/2021,2021
385,07/10/2015,2009
597,08/06/2021,2016
685,27/06/2019,2015
112,11/06/2020,2014
829,12/11/2020,2010
553,20/04/2021,2015
492,10/12/2021,2013
183,12/05/2021,2014
188,21/10/2020,2016
402,07/02/2022,2016
419,10/09/2021,2016
715,18/03/2021,2011
543,15/02/2022,2014
923,21/11/2018,2015
638,01/03/2021,2015
660,30/11/2017,2011
199,04/03/2021,2016
525,07/02/2020,2010
458,16/06/2015,2006
236,13/10/2021,2015
90,04/08/2020,2017
108,06/01/2021,2011
575,12/07/2021,2015
767,13/10/2021,2008
984,23/02/2022,2011
548,16/09/2015,2006
238,22/03/2022,2021
532,13/01/2021,2010
562,17/01/2022,2015
453,31/03/2021,2015
699,26/03/2021,1984
557,22/11/2021,2017
808,28/10/2021,2016
759,08/09/2021,2020
357,05/04/2022,2018
922,07/03/2022,2018
905,16/10/2019,2012
300,13/05/2021,2015
151,10/06/2021,2020
976,19/07/2021,2012
268,23/02/2022,2016
406,10/06/2021,2014
298,30/06/2021,2019
179,20/04/2021,2011
242,17/05/2021,2015
387,05/01/2021,2018
496,07/06/2021,2011
336,09/03/2021,2016
727,06/09/2019,2016
560,20/06/2019,2007
318,07/01/2020,2006
581,01/11/2021,2015
18,05/01/2022,2011
193,12/02/2020,2006
358,01/06/2021,2012
757,21/01/2022,2018
302,05/05/2020,2015
311,20/05/2019,2014
1013,21/12/2021,2016
537,16/12/2021,2012
326,15/12/2021,2017
190,16/04/2019,2011
955,05/10/2021,2015
24,17/02/2021,2011
133,18/08/2015,2012
1067,06/12/2021,2008
197,23/09/2020,2015
213,26/06/2019,2016
533,06/01/2022,2016
721,15/06/2021,2015
276,03/03/2021,2012
347,13/07/2021,2016
59,03/10/2018,2011
486,25/05/2021,2015
142,04/01/2021,2013
447,04/05/2021,2013
196,22/10/2020,2012
52,12/03/2016,2015
15,25/07/2017,2008
13,06/06/2012,2002
19,31/05/2017,2012
30,12/06/2019,2016
89,27/10/2014,2010
166,08/03/2019,2015
29,12/07/2019,2016
4,12/12/2011,2005
324,03/05/2016,2007
257,09/06/2021,2019
165,15/09/2017,2011
359,19/12/2018,2010
576,23/05/2019,2010
230,25/01/2021,2018
948,01/07/2021,2018
180,17/03/2021,2017
573,05/06/2019,2013
530,26/10/2021,2013
283,28/01/2021,2015
520,09/03/2022,2012
495,24/11/2021,2015
696,11/03/2021,2009
711,16/05/2017,2014
678,20/09/2018,2014
132,08/10/2018,2015
986,08/12/2021,2011
1056,21/12/2021,2018
469,17/08/2020,2013
566,05/09/2016,2013
1047,10/10/2018,2011
992,22/09/2021,2016
762,08/09/2021,2007
706,07/10/2021,2011
221,24/05/2021,2013
564,17/03/2021,2017
329,21/07/2021,2015
608,11/06/2018,2010
116,19/01/2021,2015
859,30/01/2020,2015
504,12/06/2019,2012
337,19/11/2020,2013
879,23/02/2022,2017
578,21/04/2021,2018
527,08/02/2022,2011
629,01/01/2015,2013
260,15/01/2021,2016
692,02/08/2018,2007
259,17/11/2020,2015
867,06/01/2022,2010
338,25/03/2021,2014
225,15/12/2020,2017
362,21/02/2017,2014
541,23/09/2021,2016
883,07/08/2019,2008
450,29/04/2021,2012
838,18/09/2018,2015
181,16/09/2021,2017
479,22/10/2018,2007
286,20/08/2021,2018
432,13/08/2021,2017
570,27/03/2019,2000
1020,06/05/2021,2014
216,16/03/2021,2014
607,07/08/2017,2000
900,02/08/2017,2012
77,06/10/2020,2010
244,29/11/2021,2010
569,04/05/2021,2010
506,22/02/2018,2016
313,20/08/2021,2012
235,28/04/2017,2014
654,14/01/2019,2015
177,22/11/2021,2019
373,08/11/2016,1979
487,24/09/2020,2014
42,08/05/2021,1999
299,14/04/2015,2013
141,19/09/2019,2014
137,27/11/2019,2008
51,28/10/2021,2017
586,19/05/2021,2019
144,25/02/2021,2013
389,04/12/2017,2007
572,27/04/2021,2014
585,23/08/2021,2018
887,28/04/2021,2016
5,08/01/2018,2012
677,01/11/2017,2012
49,05/06/2018,2001
793,09/02/2022,2012
470,12/07/2021,2015
261,31/03/2021,2014
295,22/06/2021,2014
95,12/08/2020,2015
1053,24/02/2022,2008
594,25/10/2021,2018
120,12/02/2018,2016
974,12/07/2018,1998
306,12/08/2021,2010
939,13/11/2018,2011
526,21/06/2021,2016
754,01/12/2017,2014
376,01/07/2019,2012
889,14/06/2021,2015
148,29/01/2019,2008
157,24/03/2021,2007
519,04/03/2022,2011
41,21/06/2018,2014
43,22/12/2016,1998
16,07/04/2021,2015
38,22/07/2020,2009
312,30/07/2021,2018
940,16/12/2021,2013
127,17/03/2021,2020
94,05/08/2019,2018
205,16/03/2021,2017
270,16/02/2022,2008
75,30/03/2021,2018
993,16/07/2018,2016
744,19/11/2019,2015
341,23/10/2019,2014
472,27/01/2022,2018
571,19/05/2020,2014
228,30/09/2014,2008
1073,16/09/2020,2014
1040,25/10/2018,2015
460,12/05/2021,2017
316,26/05/2021,2017
320,17/08/2021,2011
107,21/04/2021,2018
605,31/05/2019,2000
1006,13/05/2020,2005
666,23/03/2021,2019
736,06/03/2020,1999
156,12/01/2021,2015
372,06/05/2019,2008
544,26/05/2020,2012
378,17/06/2021,2015
184,22/02/2021,2013
135,16/03/2021,2012
102,20/05/2021,2020
143,04/12/2019,2013
869,15/02/2022,2020
674,13/04/2016,2009
627,13/07/2018,2014
977,10/07/2020,2016
167,23/08/2021,2010
821,16/05/2019,2009
198,24/05/2021,2006
655,11/03/2019,2017
546,17/12/2012,2012
661,15/07/2020,2014
80,29/03/2021,2019
253,11/06/2018,2013
100,17/11/2021,2014
483,01/03/2021,2009
214,08/05/2018,2012
669,10/11/2021,2016
315,27/07/2021,2016
297,21/09/2018,2015
222,10/09/2018,2014
515,15/06/2021,2009
68,17/11/2020,2012
726,22/10/2018,2003
904,10/04/2018,2000
441,20/08/2015,2013
301,18/12/2018,2016
919,05/01/2022,2000
263,22/06/2021,2017
140,11/09/2019,2017
55,18/12/2015,2011
377,24/11/2017,1992
871,13/09/2018,2015
310,29/09/2015,2008
613,11/01/2021,2020
163,11/01/2022,2016
277,05/07/2021,2013
1059,08/02/2022,2019
503,15/02/2022,2006
330,15/05/2018,2013
254,06/08/2019,2012
367,01/08/2020,2013
399,17/06/2019,2013
61,22/07/2021,2012
375,22/09/2017,2012
716,14/02/2022,2016
224,14/11/2018,2016
22,01/03/2020,2016
720,07/08/2018,2014
322,30/09/2019,2014
279,23/02/2021,2015
111,30/06/2020,2012
126,27/07/2021,2013
269,28/04/2021,2013
25,11/12/2018,2012
160,31/07/2021,2015
731,27/04/2021,2010
202,21/09/2021,2019
74,11/10/2020,2013
439,17/01/2018,2015
379,11/05/2017,2012
154,09/09/2019,2012
423,17/06/2015,2011
262,30/03/2022,2006
219,31/07/2018,2014
161,02/07/2019,2019
36,06/07/2018,2015
384,09/12/2021,2020
599,09/04/2018,2007
20,03/12/2019,2016
241,09/07/2021,2014
69,24/11/2017,2015
333,11/02/2022,2008
246,24/11/2015,2011
70,31/03/2015,2007
174,20/12/2019,2008
294,30/03/2020,2012
601,11/08/2021,2014
795,27/03/2019,2014
319,03/01/2020,2018
274,02/09/2020,2015
538,08/03/2021,2014
478,16/02/2018,2013
1072,19/10/2021,2005
200,28/07/2021,2017
498,16/04/2018,2017
35,06/08/2018,2008
903,02/02/2022,2018
610,16/04/2018,2014
11,26/10/2018,1991
1,01/12/2012,2002
932,16/11/2021,2017
653,09/11/2016,2005
874,01/09/2021,2005
37,13/10/2021,2003
106,25/03/2019,2015
117,17/02/2022,2005
1071,06/05/2021,2018
305,25/05/2021,2012
110,19/03/2019,2013
281,01/06/2021,2014
81,21/03/2018,2015
152,18/12/2020,2012
122,06/01/2021,2015
403,24/05/2016,2010
92,09/12/2018,2013
98,02/07/2018,2003
232,01/12/2020,2012
247,27/05/2013,2005
388,30/05/2018,2009
88,23/09/2020,2016
218,16/03/2021,2015
178,12/10/2021,2017
128,22/12/2020,2007
851,20/02/2018,2010
853,30/08/2021,2014
227,03/08/2020,2014
1061,08/11/2017,2013
799,15/09/2018,2011
293,16/04/2019,2011
231,07/10/2019,2016
114,10/12/2020,2017
0,07/04/2017,2012
463,01/12/2021,2009
162,24/01/2020,1998
433,17/04/2021,2013
836,30/11/2021,2018
668,12/05/2021,2018
123,25/08/2020,2015
96,08/11/2018,2015
17,31/03/2016,2013
353,05/03/2019,2014
973,08/06/2021,2014
97,08/07/2021,2005
87,06/04/2021,2018
153,11/07/2019,2016
109,08/09/2020,2004
946,21/06/2021,2011
937,06/08/2019,2011
139,25/07/2016,2012
131,23/07/2014,2003
360,01/03/2019,1995
658,27/06/2019,2015
186,22/09/2020,2011
604,30/09/2020,2013
600,24/09/2020,2015
672,29/05/2018,2008
518,22/12/2021,2000
331,17/09/2019,2014
382,27/09/2021,2014
21,20/04/2018,2012
271,09/09/2021,2015
664,21/02/2021,2001
1070,18/04/2017,2015
146,20/05/2021,2015
292,29/10/2019,2011
792,23/06/2020,1999
639,16/05/2019,2017
567,17/12/2020,2001
945,01/12/2021,2010
947,21/12/2016,2002
717,02/07/2007,2001
424,03/03/2021,2019
733,16/08/2021,2013
1002,29/04/2019,2015
215,08/06/2021,2003
866,21/09/2021,2019
651,12/07/2021,2020
890,14/07/2021,2012
